trip_id,start_time,end_time,headway_secs
14M_14M_S_2_55_0.46111,09:58:20,14:34:20,360
14M_14M_S_2_6_0.50486,10:43:20,14:55:20,360
14M_14M_S_2_14_0.54861,09:58:20,14:34:20,360
14M_14M_S_2_20_0.59236,10:43:20,14:55:20,360
14M_14M_S_2_28_0.64167,15:23:20,15:33:50,210
14M_14M_S_2_39_0.68889,16:16:00,16:57:15,165
14M_14M_S_2_29_0.31875,07:31:30,07:42:45,225
14M_14M_S_2_42_0.69097,16:16:00,16:57:15,165
14M_14M_S_2_50_0.73958,17:14:05,18:39:25,320
14M_14M_S_2_55_0.78750,18:27:25,18:54:05,320
14M_14M_S_2_39_0.36944,08:48:45,09:07:30,225
14M_14M_S_2_51_0.41736,09:41:10,10:21:10,300
14M_14M_S_2_4_0.46528,09:58:20,14:34:20,360
14M_14M_S_2_9_0.50903,10:43:20,14:55:20,360
14M_14M_S_2_16_0.55278,09:58:20,14:34:20,360
14M_14M_S_2_22_0.59653,10:43:20,14:55:20,360
14M_14M_S_2_32_0.64375,15:23:20,15:33:50,210
